	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Opmerkingen2	Periode	overlijdensdag	overlijdensmaand
1151	1215	Boos	de	1.0		Cornelis Jansz.	0					0		0			1		
1152	1216	Hauwert		1.0		Jan Cornelisz.	0					0	1668	0			1		
1153	1217	Zyp	van der	1.0		Cornelis Heertjes	0					0		0			1		
1154	1218	Snoeck		1.0		Reynder Claesz.	0					0		0			1		
1155	1219	Pietersz.		1.0		Albert	0					0		0			1		
1156	1220	Hoffmunter		1.0		Johannes	0					0		0			1		
1157	1221	Maelson		1.0		Pieter Jacobsz.	0					0		0			1		
1158	1222	Kopges		1.0		Harko Melisz.	0					0		0			1		
1159	1223	Gerritsz.		1.0		Lucas	0					0	1622	0			1		
1160	1224	Brouwer		1.0		Gerrit Jacobsz.	0					0		0			1		
1161	1225	Scharlaeken		1.0		Seger Dirksz.	0					0	1636	0			1	24.0	3.0
1162	1226	Grota		1.0		Wijbrandt Gerbrandtsz.	0					0		0			1		
1163	1227	Krijtman		1.0		Jan Nantsz.	0					0		0			1		
1164	1228	Homan		1.0	4.0	Jan Fransz.	0					0		0			1		
1165	1229	Schipper		1.0		Jacob Sieuwertsz.	0					0	1625	0			1		
1166	1230	Palenstein		1.0		Pieter Leendertsz.	0					0	1627	0			1		
1167	1231	Botercoper		1.0		Cornelis Cornelisz.	0					0		0			1		
1168	1232	Brouwer		1.0		Lucas Albertsz.	0					0		0			1		
1169	1233	Lucasz.		1.0		Gerrit	0				1590.0	0	1650	0			1	13.0	6.0
1170	1234	Druif		1.0		Hendrik Fredriksz.	0					0	1641	0			1		
1171	1235	Ossekooper		1.0		Quirijn Taekesz.	0					0		0			1		
1172	1236	Moeskoker		1.0		Hendrik Gerritsz.	0					0	1653	0			1	31.0	3.0
1173	1237	Noordtlandt		1.0		Harko Jansz.	0					0	1654	0			1	9.0	11.0
1174	1238	Kamerlingh		1.0		Jan Jansz.	0					0	1649	0		Persoonsgegevens: begraven op 25 oktober.	1		10.0
1175	1239	Guldenarm		1.0		Jacob Hendriksz.	0					0	1654	0	Persoonsgegevens: Jaarboek van het Centraal Bureau voor Genealogie geeft 14, Bonke 19 oktober als overlijdensdatum.		1	19.0	10.0
1176	1240	Timmerman		1.0		Simon Jansz.	0					0		0			1		
1177	1241	Hardenbol		1.0		Pieter Pietersz.	0				1582.0	0	1655	0			1		
1178	1242	Compostel		1.0		Johan	0					0	1654	0			1		
1179	1243	Lakenman		1.0	3.0	Frederick Cornelisz.	0				1622.0	0	1655	0	Overig: secretaris van Enkhuizen 1650-1655.		1	28.0	11.0
1180	1244	Semeyn		1.0		Pieter Allertsz.	0				1610.0	0	1666	0			1	2.0	9.0
1181	1245	Hagha		1.0	4.0	Dirck	0				1620.0	0	1666	0			1	21.0	6.0
1182	1246	Florisz.		1.0		Pieter	0				1607.0	0	1666	0			1	18.0	10.0
1183	1247	Blaeu		1.0		Willem Wiggersz.	0				1589.0	0	1663	0			1	23.0	4.0
1184	1248	Vis		1.0		Pieter Hilbrantsz.	0					0	1675	0			1	9.0	5.0
1185	1249	Jonghknecht		1.0	4.0	Adriaen Cornelisz.	0					0	1679	0			1		
1186	1250	Wijnkooper		1.0		Jacob Dircxsz.	0					0	1608	0			1		
1187	1251	Foreest	van	1.0		Jan	0				1540.0	0	1580	0			1	25.0	5.0
1188	1252	Torenburgh	van	1.0	4.0	Jacob	0					0	1583	0			1		
1189	1253	Rabbi		1.0	4.0	Adriaen Heynricxz.	0					0	1620	0		Persoonsgegevens: begraven op 4 maart.	1		
1190	1254	Cromhout		1.0		Reijnier Adriaensz.	0					0	1591	0			1		
1191	1255	Calf		1.0		Gerrit Heindricxsz.	0					0	1592	0			1		
1192	1256	Steenhuysen		1.0		Jacob Willemsz.	0					0	1612	0			1		
1193	1257	Cooren		1.0		Gerrit Jacobsz.	0					0	1625	0	Vroedschap: ontslagen 1610.		1		
1194	1258	Berch	van den	1.0		Hendrik Dirksz.	0					0		0			1		
1195	1259	Teylingen	van	1.0		Pieter Florisz.	0					0	1609	0			1		
1196	1260	Medemblick		1.0		Doede Jansz.	0					0	1612	0	Vroedschap: ontslagen 1610.		1		
1197	1261	Schagen		1.0		Cornelis Matthijsz.	0					0	1628	0			1		
1198	1262	Wittendel	van	1.0	3.0	Jan	1	jonkheer			1562.0	0	1625	0	Vroedschap: 1618 ontslagen.		1		
1199	1263	Teylingen	van	1.0	4.0	Floris	1	jonkheer			1577.0	0	1624	0	Persoonsgegevens: De Nederlandsche Leeuw geeft afwijkende overlijdensdatum 26 in plaats van 14 oktober.		1	14.0	10.0
1200	1264	Vrijburch		1.0		Pieter Claesz.	0					0	1620	0	Vroedschap: ontslagen 1618.		1		
1201	1265	Teylingen	van	1.0	4.0	Jakob	0				1569.0	0	1643	0	Vroedschap: ontslagen 1618.		1	5.0	9.0
1202	1266	Egmond van de Nijenburg	van	1.0		Gerard Jansz.	0				1576.0	0	1636	0		Persoonsgegevens: begraven op 22 mei.	1		5.0
1203	1267	Rijp		1.0		Cornelis Jansz.	0					0	1630	0			1	23.0	8.0
1204	1268	Egmond van de Nijenburg	van	1.0		Thomas	1	jonkheer			1599.0	0	1675	0			1	24.0	9.0
1205	1269	Kessel		1.0		Pieter Willemsz.	0					0	1644	0			1	25.0	11.0
1206	1270	Oudensteyn	van	1.0	4.0	Matthijs	0				1584.0	0	1647	0			1	18.0	1.0
1207	1271	Sonnevelt	van	1.0	4.0	Cornelis	0					0	1654	0			1	15.0	1.0
1208	1272	Zeylemaker		1.0		Cornelis Thomasz.	0					0	1649	0			1		
1209	1273	Clock		1.0		Jan Lourensz.	0					0	1653	0			1	10.0	8.0
1210	1274	Teylingen	van	1.0	4.0	Cornelis	1	jonkheer			1612.0	0	1661	0	"Persoonsgegevens: Genealogische en heraldische bladen 1906 en 1912 geven 1613 als geboortejaar, De Nederlandsche Leeuw 1612.
Vroedschap: Genealogische en heraldische bladen geeft afwijkend aanvangsjaar 1639."		1	20.0	10.0
1211	1275	Egmond van de Nijenburg	van	1.0		Johan Gerritsz.	0				1618.0	0	1712	0	"Vroedschap: ontslagen op eigen verzoek 1687.
Buitenlandse adelstitel: door keizer Joseph I verheven tot baron H.R.R. in 1705.
Overig: bekleedde mogelijk ook nog de functie van gecommitteerde in de Rekenkamer ter Auditie van Holland in het Noorderkwartier 1678-1680, in deze database bij naamgenoot Johan Johansz. (1646-1690) ondergebracht."		1		
1212	1276	Baert		1.0		Jacob Cornelisz.	0				1612.0	0	1668	0			1		
1213	1277	Sevenhuijsen		1.0		Adriaan Cornelisz.	0					0	1669	0		Persoonsgegevens: begraven op 12 maart.	1		
1214	1278	Steenhuysen		1.0	4.0	Bartholdus Jansz.	0				1618.0	1	1670	0			1	20.0	9.0
1215	1279	Aris		1.0		Jacob Jansz.	0					0		0			1		
1216	1280	Lourisz.		1.0		IJsbrant	0					0		0	Persoonsgegevens: patroniem in tijdschrift Holland foutief 'Couriss.'. Ook het daarin vermelde eindjaar van de zitting in de vroedschap 1639 is onjuist, want Lourisz. wordt nog tot 3 november 1640 in de resoluties van de vroedschap van Purmerend als lid van dat college genoemd.		1		
1217	1281	Brouwer		1.0		Gerrit Claesz.	0					0		0			1		
1218	1282	Heyndricksz. (de Jonge)		1.0		Pieter	0					0		0			1		
1219	1283	Heering		1.0		Pouwels Claesz.	0					0		0			1		
1220	1284	Grebber		1.0		Pieter Claesz.	0					0		0			1		
1221	1285	Out		1.0		Jan Cornelisz.	0					0		0			1		
1222	1286	Ruyter		1.0		Dirck Albertsz.	0					0	1639	0	Vroedschap: eindjaar 1636 zoals in Holland onjuist; want Ruyter wordt in 1639 in de vroedschapsresoluties van Purmerend nog als lid van dat college genoemd. Vrijwel zeker overleden in december 1639, want toen vervangen als gecommitteerde in de rekenkamer van het Noorderkwartier, terwijl hij daarin op 12 november van dat jaar nog gecontinueerd was. Bovendien na dat jaar niet meer in de vroedschap.		1		
1223	1287	Backer		1.0		Dirck Pouwelsz.	0					0		0			1		
1224	1288	Cassatier		1.0		Gerrit Dirckz.	0					0		0	Vroedschap: tijdschrift Holland geeft 1635 als eindjaar van zitting in de vroedschap, maar gezien de datum van aantreden van opvolger moet dit 1644 zijn.		1		
1225	1289	Beets		1.0		Huybert Huybertsz.	0					0		0			1		
1226	1290	Melisz.		1.0		Matthijs	0					0	1647	0			1		
1227	1291	Heijns		1.0		Jan Cornelisz.	0					0		0			1		
1228	1292	Roothooft		1.0		Dirck Pietersz.	0					1		0			1		
1229	1293	Melis		1.0		Pieter Matthijsz.	0					0		0			1		
1230	1294	Houttuyn		1.0		Claes Jacobsz.	0					0	1667	0			1		
1231	1295	Pouwelsz.		1.0		Thijs	0					0	1632	0		Persoonsgegevens: begraven op 29 september.	1		9.0
1232	1296	Raadt		1.0		Claes Jansz.	0					0		0	Vroedschap: ontslagen 1631.		1		
1233	1297	Sem		1.0		Jacob Sijmonsz.	0					0	1647	0		Persoonsgegevens: begraven op 17 juli.	1		7.0
1234	1298	Laackeman (de jonge)		1.0		Pieter Pietersz.	0					0	1653	0		Persoonsgegevens: begraven op 18 februari.	1		2.0
1235	1299	Baen		1.0		Ariaen Jacobsz.	0					0	1636	0		Persoonsgegevens: begraven op 7 februari.	1		
1236	1300	Hagen		1.0		Dirk Jacobsz.	0					0	1653	0		Persoonsgegevens: begraven op 11 november.	1		
1237	1301	Reijnsz.		1.0		Sijmon	0					0	1644	0		Persoonsgegevens: begraven op 22 mei.	1		5.0
1238	1302	Buijes		1.0	3.0	Jan Gerritsz.	0					0	1667	0		Persoonsgegevens: begraven op 22 augustus.	1		8.0
1239	1303	Ketel		1.0		Pieter Jacobsz.	0					0	1664	0		Persoonsgegevens: begraven op 2 januari 1665.	1		12.0
1240	1304	Admirael		1.0		Claes Dircksz.	0					0		0	Vroedschap: ontslagen 1672.		1		
1241	1305	Leijtsen		1.0		Hendrik Samuelsz.	0					0	1670	0		Persoonsgegevens: begraven op 18 juni.	1		6.0
1242	1306	Gracht		1.0		Jan Mieusz.	0					0		0			1		
1243	1307	Marts		1.0		Jacob Jansz.	0					0	1662	0		Persoonsgegevens: begraven op 4 mei.	1		
1244	1309	Kuyper		1.0		Pieter	0					0		0			1		
1245	1316	Blyenburg	van	1.0		Gerard	0				1562.0	0	1605	0			1		
1246	1317	Blankenoort	van	1.0	4.0	Pieter	0					0		0	"Persoonsgegevens: waarschijnlijk identiek met de in Algemeen Nederlandsch Familieblad (1884) nr. 95 blz. 1 genoemde Peter van Blanckeroort, geboren 1539.
Vroedschap: al aanwezig 1583."		1		
1247	1318	Wiere	van der	1.0		Bartholomeus	0				1534.0	0	1603	0			1		
1248	1320	Zuylen van Nyevelt	van	1.0		Willem	1	jonkheer	Aartsbergen	Bergambacht, Berkoude	1538.0	0	1608	0	"Persoonsgegevens: archief ridderschap geeft afwijkende overlijdensdatum 28 in plaats van 23 oktober.
Ridderschap: archief ridderschap geeft afwijkend aanvangsjaar 1575."		1	23.0	10.0
1249	1321	Loncq		1.0		Dirk Jansz.	0				1539.0	0	1605	0			1		
1250	1322	Jonckman		1.0		Jacob Claesz.	0				1531.0	0	1601	0			1		
1251	1323	Paets		1.0		Jacob Cornelisz.	0				1560.0	0	1622	0			1		
1252	1324	Muijlwijck	van	1.0		Mathijs Willemsz.	0					0	1623	0			1	29.0	3.0
1253	1325	Walenburch	van	1.0		Pieter Adriaensz.	0				1557.0	0	1620	0			1		
1254	1326	Bleyswijk	Fyck van	1.0		Adriaan Dirksz.	0				1555.0	0	1612	0			1		
1255	1327	Roos		1.0		Jacob Jansz.	0					0	1610	0			1	8.0	10.0
1256	1328	Druijt		1.0		Cornelis Alewijsz.	0					0	1620	0	Persoonsgegevens: Kronieken geeft afwijkend jaar van overlijden 1621 (waarschijnlijk op basis aanvang opvolger in de vroedschap).	Persoonsgegevens: begraven op 19 november.	1		11.0
1257	1330	Hoeff	van der	1.0		Michiel Willemsz.	0				1565.0	1	1646	0			1	30.0	3.0
1258	1331	Schaelckens		1.0		Guiljaume	0					0	1615	0			1		
1259	1332	Riele	van	1.0		Jacob Aertsz.	0					0	1621	0			1		
1260	1333	Nieuland		1.0		Bruijn Adriaensz.	0					0	1626	0			1		
1261	1334	Lange	de	1.0		Laurens Adriaensz.	0					0	1621	0	Vroedschap: electeur vanaf 1581.		1	5.0	10.0
1262	1335	Boetzelaer	van den	1.0		Wessel	1		Asperen	Merwede	1562.0	1	1632	0	"Buitenlandse adelstitel: baron H.R.R.
Heerlijkheden: verwerving Asperen 1604, bezit Merwede 1598-1604."		1	10.0	10.0
1263	1336	Verwerf		1.0		Maarten Pietersz.	0					0	1638	0			1		
1264	1337	Oem van Wijngaerden		1.0		Jacob	0		Benthuizen			0	1650	0	Persoonsgegevens: d'Ablaing en archief ridderschap geven afwijkend jaar van overlijden 1656.		1	8.0	12.0
1265	1338	Dussen	van der	1.0		Frans Adriaansz.	0					0	1630	0			1	27.0	8.0
1266	1339	Uythoeck		1.0		Pieter Henricksz.	0					0	1637	0	Persoonsgegevens: voorzaten stonden bekend als 'Huytgenshoeck' (zo ook vermeld in Engelbrecht).		1	21.0	4.0
1267	1340	Hallincg		1.0	4.0	Herman Jansz.	0					0		0			1		
1268	1341	Wevelinchoven	van	1.0		Baltus Jansz.	0					0	1635	0			1	1.0	11.0
1269	1342	Goes	van der	1.0		Aernout	0					0		0	Vroedschap: einde wegens vertrek naar Dordrecht.		1		
1270	1343	Schaep		1.0	4.0	Gerard Pietersz.	0				1599.0	0	1655	0			1		
1271	1344	Pijnaker		1.0		Christiaen	0					0	1660	0			1		
1272	1345	Laeckervelt		1.0		Steven Stevensz.	0					0		0			1		
1273	1346	Damius		1.0	4.0	Johan	0					0	1648	0			1	15.0	12.0
1274	1347	Vesanevelt		1.0		Pieter Andriesz.	0					0	1647	0			1		
1275	1348	Drept	van der	1.0		Jan Jansz.	0					0	165?	0			1		
1276	1349	Riele	van	1.0		Aert	0				1600.0	0	1678	0			1		
1277	1350	Hoogmoet		1.0		Adriaen Dirksz.	0					0	1681	0	Vroedschap: niet genoemd in Wapenheraut, tenzij identiek met Ary Dirkse Bakker, die eveneens in 1622 in de vroedschap van Schiedam komt. De aanwijzingen daarvoor zijn sterk, aangezien deze Ary Dirkse Bakker niet, en Adriaen Dirksz. Hoogmoet wel voorkomt als vroedschap in Kronieken.		1	18.0	5.0
1278	1351	Schagen	van Beyeren	1.0		Willem	1		Schagen	Schakerkogge, Burghorn		0	1660	0	"Persoonsgegevens: Nederlandsche Leeuw geeft afwijkend jaar van overlijden 1658 (waarschijnlijk omdat toen de heerlijkheid Schagen werd verkocht aan George van Cats, eveneens in deze database aanwezig)
Heerlijkheden: bezit Schagen tot 1658."		1	15.0	9.0
1279	1352	Heeraertsberge	van 's	1.0		Cornelis Dircxz.	0					0		0			1		
1280	1353	Fabricius		1.0		Gaaf Meyndertsz.	0					0	1666	0			1		
1281	1354	Brouwer		1.0		Adriaen Cornelisz.	0					0	1657	0			1		
1282	1355	Cats	van	1.0		Theophilus	1	jonkheer	Kats	Maalstede, Simonspolder, Gunterstein, Heiloo, Coulster, Ruiven	1593.0	1	1655	0	Heerlijkheden: verwerving Gunterstein 1624, Coulster 1622, Ruiven 1638.		1	1.0	7.0
1283	1356	Graswinckel		1.0		Jan Francosz.	0				1599.0	0	1668	0			1	30.0	5.0
1284	1357	Cats	van	1.0		George	0		Kats	Coulster, Schagen	1632.0	0	1697	0	"Ridderschap: Belonje vermeldt Cats als lid van de Ridderschap van Holland. Dit wordt echter niet ondersteund door d'Ablaing van Giessenburg en de lijst van de Ridderschap van Holland in Nationaal Archief, archief van de Ridderschap van Holland, inv. nr. 80.
Heerlijkheden: verwerving Coulster 1656, bezit Schagen 1658-1676."		1		
1285	1358	Meurs	van	1.0		Govert	0					0	1666	0			1		
1286	1359	Bicker		1.0	3.0	Gerard	0		Swieten	Oud-Haarlem en Kortenbosch	1632.0	0	1716	0			1		
1287	1360	Fockendijk		1.0		Jacob Jansz.	0					0	1694	0			1		
1288	1361	Akersloot		1.0		Andries	0					0	1670	0	Overig: was secretaris van Haarlem.		1		
1289	1362	Geraards		1.0		Stephanus	0					0	1671	0			1		
1290	1363	Vianen		1.0	4.0	Meynard	0				1642.0	0	1685	0			1		
1291	1364	Lee	van der	1.0		Dirk Jansz.	0				1600.0	1	1676	0			1	29.0	3.0
1292	1365	Dieningen	van	1.0		Johannes	0				1635.0	0	1673	0			1	12.0	10.0
1293	1366	Alphen	van	1.0	4.0	DaniÃ«l Simonsz.	0				1638.0	0	1711	0			1		
1294	1367	Does	van der	1.0	4.0	Jacob	0				1618.0	0	1676	0			1	20.0	7.0
1295	1368	Brauw	de	1.0	4.0	Jacob	0		Kethel		1604.0	0	1680	0	Buitenlandse adelstitel: Engelse riddertitel.		1	22.0	12.0
1296	1369	Vries	de	1.0		Cornelis Dingemansz.	0				1624.0	0	1681	0			1		
1297	1370	Kevelaer		1.0		Dirk	0					0	1679	0			1		
1298	1371	Taal		1.0		Cornelis	0					0	1705	0			1		
1299	1372	Harencarspel	van	1.0		Nicolaes	0				1636.0	0	1695	0			1		
1300	1373	Nederveen	van	1.0		Willebort	0		Rijswijk	Rodebouwe		0	1684	0			1		
1301	1374	Cromvliet	van	1.0	4.0	Bernard	0					0	1627	0		Persoonsgegevens: begraven op 27 maart.	1		3.0
1302	1375	Kinschot	van	1.0	4.0	Louis	0				1595.0	0	1647	0			1		7.0
1303	1376	Cassiopin	van	1.0		Hugo	0					0		0			1		
1304	1377	Wolf	van der	1.0		Anthonis	0					0		0			1		
1305	1379	Kinschot	van	1.0		Gasper	0				1633.0	0	1678	0			1	8.0	10.0
1306	1380	Pauw de By		1.0	4.0	Frederik	0					0		0			1		
1307	1381	Campen	van	1.0		Everard	0					0		0	Persoonsgegevens: overleden tussen 1673 en 1679.		1		
1308	1382	Wassenaer	van	1.0		Arent	1		Duvenvoorde	Voorschoten, Veur	1669.0	0	1721	0			1		
1309	1384	Raedt	de	1.0	4.0	Dirck	0		Kijfhoek		1649.0	0	1706	0	Buitenlandse adelstitel: Engelse titel 2e baronet.		1	18.0	1.0
1310	1385	Voorburgh		1.0	4.0	Johan	0				1657.0	0	1711	0			1		
1311	1386	Lormier		1.0		Claudius	0				1686.0	0	1762	0			1		
1312	1388	Habett		1.0		Nicolaas	0					0	1722	0			1	22.0	1.0
1313	1389	Bergen	van den	1.0	4.0	Nicolaas	0					0	1727	0			1		
1314	1390	Crommelin		1.0		Hendrik	0				1694.0	0	1754	0	Vroedschap: ontslagen 1748.		1		
1315	1391	Teffelen	van	1.0	3.0	Willem	0				1618.0	0	1689	0			1	26.0	12.0
1316	1392	Santheuvel	van den	1.0	4.0	Hendrik Bartholomeusz.	0				1687.0	0	1747	0			1	28.0	8.0
1317	1393	Bors van Waveren		1.0	4.0	Gerard	0				1691.0	0	1769	0			1		
1318	1394	Cobmoijer		1.0	4.0	Johan	0					0	1740	0	Persoonsgegevens: mogelijk identiek met Johannes Copmojer uit Den Haag, inschrijving op 7 mei 1685, 17 jaar, en Johannes Kopmojer uit Den Haag, inschrijving 21 maart 1692, 22 jaar, in Album studiosorum academiae Lugduno Batavae MDLXXV-MDCCCLXXV ('s-Gravenhage 1875) 675 en 720.		1		
1319	1395	Snellen		1.0	3.0	Paulus	0				1682.0	0	1751	0			1		
1320	1396	Boreel		1.0		Willem	0				1675.0	0	1727	0			1	12.0	6.0
1321	1397	Munter		1.0	4.0	Andries	0				1714.0	0	1771	0			1		
1322	1398	Moor van Immerzeel	de	1.0	3.0	Gualterus	0				1684.0	0	1753	0			1		
1323	1399	Vromans		1.0		Jacob	0				1637.0	0	1708	0			1		
1324	1400	Meerman		1.0	4.0	Gerard Jansz.	0				1650.0	0	1710	0			1	10.0	2.0
1325	1401	Repelaer		1.0		Hugo Hugosz.	0				1655.0	0	1713	0	Overig: was mogelijk ook nog gecommitteerde in de Admiraliteit op de Maze 1706-1709. Deze functie is bij Hugo Anthonisz. Repelaer (1676-1727, elders in deze database) geplaatst, eveneens oudraad van Dordrecht.		1	2.0	2.0
1326	1402	Coolbrand		1.0		Govert	0				1660.0	0	1721	0			1		
1327	1403	Keijsers		1.0		Willem	0					0	1722	0			1		8.0
1328	1404	Coen		1.0		Cornelis	0					0	1715	0			1		
1329	1405	Hage		1.0		Jacob	0				1682.0	0	1716	0			1		
1330	1406	Warbol		1.0		Cornelis	0				1656.0	0	1706	0			1		
1331	1407	Walen		1.0		Balthazar Arendsz.	0					0	1694	0			1	9.0	12.0
1332	1408	Eelbo		1.0	4.0	Roelof Danielsz.	0				1645.0	0	1705	0			1	6.0	2.0
1333	1409	Bosschaert		1.0		Carel	0					0	1723	0			1	29.0	11.0
1334	1410	Verhaer		1.0		Anthony	0					0	1732	0			1		
1335	1411	Hoogeveen	van	1.0		Adriaen Aelbertsz.	0				1648.0	0	1712	0		Persoonsgegevens: begraven op 9 mei.	1		
1336	1412	Walhoven	van	1.0		Jacob Sybrantsz.	0					0		0			1		
1337	1413	Beelaerts		1.0	4.0	Gerard	0		Wieldrecht		1746.0	0	1809	0			1		
1338	1414	Berkhout	Teding van	1.0		Jan	0				1756.0	0	1806	0	Overig: op 8 april 1799 werd  Jan Teding van Berkhout door het Wetgevend Lichaam vervallen verklaard van zijn stemrecht. Het Uitvoerend Bewind moest nieuwe verkiezingen laten plaatsvinden voor het Departementaal Bestuur van Texel.		1		
1339	1415	Teylingen	van	1.0	4.0	Jan	1	jonkheer				0	1677	0			1	5.0	6.0
1340	1416	Schagen Hoogland		1.0		Jacob	0					0	1672	0		Persoonsgegevens: begraven op 16 maart.	1		3.0
1341	1417	Bijwaert		1.0		Michiel Harcksz.	0					0	1678	0			1		
1342	1418	Schagen Winckel		1.0		Pieter Adriaensz.	0					0	1692	0			1		
1343	1419	Sevenhuysen		1.0		Cornelis Cornelisz.	0				1636.0	1	1681	0			1	31.0	12.0
1344	1420	Egmond van de Nijenburg	van	1.0	4.0	Johan Johansz.	1	jonkheer			1646.0	0	1690	0	Overig: bekleedde mogelijk ook nog de functies van gecommitteerde in de Raad van State 1676-1679 en in de Generaliteits-Rekenkamer 1679-1682, in deze database bij naamgenoot Johan Gerritsz. (1618-1712) ondergebracht.		1	3.0	4.0
1345	1421	Vrijburgh		1.0	3.0	Jacob	0					0	1692	0			1		
1346	1422	Brant		1.0		Hendrick	0					0	1713	0			1		
1347	1423	Kessel		1.0		Cornelis	0					0	1699	0			1		
1348	1424	Sevenhuysen		1.0		Sijmon Adriaensz.	0				1624.0	0	1694	0			1	5.0	10.0
1349	1425	Bijwaert		1.0		Pieter	0				1631.0	0	1704	0			1	24.0	1.0
1350	1426	Vrijburgh		1.0	4.0	Nicolaas	0				1661.0	0	1737	0			1		
1351	1427	Daey		1.0	4.0	Hendrick	0				1651.0	0	1712	0			1	11.0	1.0
1352	1428	Sijms		1.0		Pieter Adriaensz.	0				1645.0	0	1713	0			1	24.0	2.0
1353	1429	Kinschot	van	1.0	4.0	Johan Lodewijk	0				1664.0	0	1725	0			1	28.0	2.0
1354	1430	Bosch		1.0	4.0	Jacob Willemsz.	0				1678.0	0	1714	0			1	14.0	4.0
1355	1431	Sevenhuysen		1.0	4.0	Adriaan Sijmonsz.	0				1665.0	0	1719	0			1	19.0	11.0
1356	1432	Winder		1.0		Gerrit	0				1664.0	0	1719	0			1	8.0	11.0
1357	1433	Winder		1.0		Willem	0				1674.0	0	1748	0			1	18.0	11.0
1358	1434	Vos	de	1.0		Abraham	0				1665.0	0	1727	0			1	20.0	8.0
1359	1435	Schooff		1.0		Jan Matthijsz.	0				1682.0	0	1754	0			1		
1360	1436	Stuylingh Sijms		1.0		Gerrit	0				1687.0	0	1748	0			1		
1361	1437	Baert		1.0	4.0	DaniÃ«l	0				1682.0	0	1757	0	Vroedschap: ontslagen 1749.		1	25.0	5.0
1362	1438	Hoeven	van der	1.0		Adriaan	0				1666.0	1	1736	0			1	20.0	12.0
1363	1439	Teylingen	van	1.0		Cornelis	1	jonkheer	Oudkarspel	Koedijk	1692.0	0	1738	0	Heerlijkheden: volgens Bossaers heerlijkheid Harencarspel in plaats van Oudcarspel.		1		
1364	1440	Carpentier	de	1.0		Pieter	0				1675.0	0	1742	0			1	10.0	4.0
1365	1441	Vrijburgh		1.0	4.0	Jacob Josias	0				1693.0	0	1755	0			1		
1366	1442	Schuijt		1.0		Adriaan	0				1698.0	0	1751	0			1		
1367	1443	Egmond van de Nijenburgh	van	1.0		Johan	1	jonkheer			1684.0	0	1745	0			1	4.0	3.0
1368	1444	Bijl		1.0		Adriaan	0				1715.0	0	1765	0	Vroedschap: ontslagen 1749.		1		
1369	1445	Schooff		1.0		Lucas	0				1697.0	1		0	Vroedschap: ontslagen op eigen verzoek 1754.		1		
1370	1446	Olphertsz.		1.0	4.0	Cornelis	0					0		0			1		
1371	1447	Molenwerf		1.0		Nicolaas	0				1619.0	0	1675	0			1	17.0	7.0
1372	1448	Roosterman		1.0		Joan	0					0		0			1		
1373	1449	Goethals		1.0	3.0	Georgius	0				1667.0	1	1719	0			1	20.0	8.0
1374	1450	Blocker		1.0		Jan	0					0		0			1		
1375	1451	Sonck		1.0	4.0	Albert	0				1659.0	0	1694	0			1	16.0	5.0
1376	1452	Ment		1.0		Cornelis	0					0	1714	0		Persoonsgegevens: begraven op 15 september.	1		9.0
1377	1453	Verschuer		1.0	4.0	Joan	0				1661.0	0	1721	0			1		
1378	1454	Benningbroek		1.0		Jacob	0					0	1701	0			1		
1379	1455	Gent	van	1.0	4.0	Pieter	0				1659.0	0	1696	0	Overig: volgens Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983) was van 2 oktober 1690 tot 1 januari 1691 ook een Pieter van Gent lid van dat college. Het is onwaarschijnlijk dat dat de hier genoemde persoon is, gezien zijn vroedschapsjaren, en het feit dat voor Hoorn in de Raad van State Bredehoff zit van 1691-1694. Mogelijk zat deze andere Pieter van Gent voor Enkhuizen (hoewel geen vroedschap met die naam in die stad bekend). Mogelijk is echter ook dat het wel om de hier genoemde gaat, maar dat na de commissie van 2 oktober 1690 geen sessiename gevolgd is.		1		
1380	1456	Vries	de	1.0	4.0	Hercules	0				1667.0	0	1717	0			1	3.0	5.0
1381	1457	Minnes		1.0	4.0	Nicolaas	0				1675.0	0	1711	0			1	25.0	2.0
1382	1458	Avenhorn		1.0	4.0	Pieter	0				1670.0	0	1712	0			1	19.0	7.0
1383	1459	Besem		1.0	3.0	Herman	0				1643.0	1	1713	0			1	29.0	7.0
1384	1460	Nieuwstad	van	1.0	4.0	Wijnand	0				1669.0	0	1740	0			1	20.0	2.0
1385	1461	Hinlopen		1.0	4.0	Reynier	0				1648.0	0	1723	0			1	1.0	2.0
1386	1462	Avenhorn		1.0	4.0	Cornelis	0				1695.0	0	1727	0			1	8.0	11.0
1387	1463	Jongemaats	Opperdoes	1.0	3.0	Reinier	0				1692.0	0	1736	0			1	1.0	12.0
1388	1464	Groot		1.0		Arent	0				1678.0	0	1750	0	Vroedschap: ontslagen 1749.		1	16.0	4.0
1389	1465	Groot		1.0		Matthijs	0				1692.0	0	1753	0			1	26.0	3.0
1390	1466	Vries	de	1.0		Joan	0				1695.0	0	1765	0			1	30.0	10.0
1391	1467	Beecke	van der	1.0	4.0	Reynier	0				1668.0	0	1740	0			1	6.0	8.0
1392	1468	Merens		1.0		Lucas	0				1698.0	0	1776	0			1	16.0	10.0
1393	1469	Nieuwstad	van	1.0	4.0	Simon	0				1713.0	0	1764	0			1	12.0	1.0
